Agent_ID,AGAME_Points,Training_Hours,FCR_Percent,Tone_Sentiment,Retention_Status
AGENT_001,302,8.707236579136923,79.10473799993918,3.5907271201405484,0
AGENT_002,635,7.823919689274532,77.32984888037817,4.242490855480478,0
AGENT_003,470,10.34816793878959,81.02323760887614,2.749558022832477,1
AGENT_004,306,7.289835439167367,76.627649577745,3.1829309735273883,0
AGENT_005,271,6.356155999388083,73.17418455592514,3.6450780985063167,1
AGENT_006,900,15.223352577681736,88.29953626084462,5.0,1
AGENT_007,220,9.261999044991903,79.47914351408521,1.6203150170229934,0
AGENT_008,814,15.002560238232398,86.07513752129586,4.513882963566874,1
AGENT_009,321,6.531564953554723,78.5288964526216,3.417455574593311,1
AGENT_010,666,11.04157524829757,82.51002871426994,3.8101652671906097,0
AGENT_011,414,9.802526862807127,77.3211832998054,3.3779097140731142,1
AGENT_012,530,12.251090254244719,84.68974259863474,4.007317026714668,1
AGENT_013,658,10.62165152430942,78.9831139460095,3.6685347642109587,1
AGENT_014,287,7.498682046672366,77.82219227749344,2.6182373219691,0
AGENT_015,572,8.507330051987942,80.07818623599672,2.1673663299654633,0
AGENT_016,299,5.597586751838659,71.75501549105458,2.183806179332855,0
AGENT_017,863,15.255051644788397,89.80932972567125,4.82571592430342,1
AGENT_018,330,11.012480057141644,82.34428193958546,2.196108409017575,0
AGENT_019,861,13.465979756839332,86.84308995524799,5.0,1
AGENT_020,508,12.08706579578405,86.92418465898398,2.816929311019684,0
AGENT_021,969,15.413272050095268,87.62913184313716,5.0,1
AGENT_022,543,9.139760490789751,77.20216840746964,3.7373702886430458,1
AGENT_023,691,12.632791211016828,82.1701579572742,4.984636644533058,1
AGENT_024,613,14.206073132931937,84.67748912946703,3.2340689244102805,0
AGENT_025,585,10.778347921780096,81.01331846384194,4.42158187607748,1
AGENT_026,391,12.039287311628012,83.74123491707532,3.0691165305097936,0
AGENT_027,476,4.520509791820511,72.3341462863908,2.9132456744760242,0
AGENT_028,360,10.243805008750448,82.02007401119772,3.171051737131635,0
AGENT_029,659,11.764094136476341,82.67214498847032,4.235529847786735,1
AGENT_030,513,9.531985299068264,82.20504610291702,3.251891561420603,0
AGENT_031,221,7.393521553071005,75.5609686631306,2.4189010424950093,0
AGENT_032,452,5.544862170798214,78.75763158937656,3.11534320156912,0
AGENT_033,947,14.030656224324977,87.29731903201748,5.0,1
AGENT_034,760,13.314225143023492,83.25702260170267,4.871065337260523,1
AGENT_035,674,14.695788089483033,84.90189713810233,4.989008408072676,1
AGENT_036,258,6.543459563452705,75.78013417566542,1.9130922505865755,0
AGENT_037,710,10.483012794213625,80.27759362066874,5.0,1
AGENT_038,881,12.806485912830928,85.63772985743057,4.047956100238749,1
AGENT_039,675,13.580804235404148,86.31768160225332,4.124107452482209,1
AGENT_040,899,14.64750221931937,86.82559550366531,5.0,1
AGENT_041,982,13.760479592465924,83.94713195256207,5.0,1
AGENT_042,389,9.916534866226712,76.84510784996834,2.7446502400897033,1
AGENT_043,886,14.05415509869608,85.18820274391008,4.939938874821363,1
AGENT_044,762,14.557289981065779,88.54873256024563,4.301499532670584,1
AGENT_045,766,11.255893812245295,82.31202820662834,4.269317621527894,0
AGENT_046,443,8.774675706804462,75.67053600278271,3.6968010485105123,0
AGENT_047,704,11.255783693735685,82.23003739230589,4.494507742982524,1
AGENT_048,330,5.372970103735763,73.83008991506132,2.4735452023696727,0
AGENT_049,684,12.432240554129152,81.88064595879146,4.6857999377166255,1
AGENT_050,846,13.982110544359779,86.28061602843073,5.0,1
AGENT_051,220,7.210226913284922,75.93175780681938,2.78643105941948,0
AGENT_052,366,8.190825733249707,75.00029800421332,3.278814420961806,1
AGENT_053,473,6.899258515899172,76.06446249454532,2.977502494538964,1
AGENT_054,587,10.028709354469282,81.1646330844404,3.567909479901515,1
AGENT_055,800,12.314570966946462,85.63795893677025,5.0,1
AGENT_056,515,8.545445461556763,79.92577229640496,3.8651851327167326,0
AGENT_057,213,6.807428576667982,72.4558041290878,2.341549203017926,0
AGENT_058,441,10.218101713629077,78.45150249061336,3.322663691654391,1
AGENT_059,976,18.53237180242106,93.8286282380489,5.0,1
AGENT_060,545,10.799155625663678,82.22630534031993,3.384214305582085,0
AGENT_061,764,13.15510078144553,85.76274654478038,4.829548690585019,1
AGENT_062,539,10.241108168467665,88.06712523401093,3.554903673783053,1
AGENT_063,291,4.072457569401918,72.25046737548921,2.55515939838639,1
AGENT_064,566,10.606972249101567,83.18158965401355,4.313388425993595,1
AGENT_065,654,11.660460419882053,84.39869415680948,4.528708174494015,1
AGENT_066,627,16.196484224970572,90.59750884006745,4.414754818000319,1
AGENT_067,708,11.695278070437755,81.91237861637595,4.984739403577164,1
AGENT_068,975,15.353094684667225,89.54758046798737,5.0,1
AGENT_069,234,7.270576460589513,74.36021426180913,2.776976485647482,1
AGENT_070,405,6.712643924760936,74.59532867366138,2.964866621703272,1
AGENT_071,280,10.08564562903004,79.15774134788686,2.782083176244221,0
AGENT_072,761,14.11386606537355,86.33454737683297,4.478928472816158,1
AGENT_073,587,12.452063894086095,88.30741297447615,3.896497982496359,1
AGENT_074,201,5.191225090410522,69.05230725043229,2.601578512718457,1
AGENT_075,589,13.695588621872197,86.91590331355732,3.4468896583832636,0
AGENT_076,765,9.846297874415438,76.54401506924386,5.0,1
AGENT_077,305,9.22371418760054,77.89170754982193,2.216991309250149,0
AGENT_078,971,19.090911251619957,95.0,4.776905693606134,1
AGENT_079,676,9.778927349738623,79.79695106279885,4.783055436750034,1
AGENT_080,902,12.887404540794456,82.17561725533308,5.0,1
AGENT_081,601,11.209302730175281,80.38334667674297,4.216059908526077,1
AGENT_082,929,13.2830486917676,86.28376853552075,5.0,1
AGENT_083,755,9.448673137867734,77.71227644336732,4.513876613576542,1
AGENT_084,361,8.747125949612055,78.55360610358204,2.495372814257084,0
AGENT_085,401,6.88539257254779,75.41923253862932,3.1419022790968634,1
AGENT_086,469,10.637184861270363,79.65257659669392,3.0374191442439438,0
AGENT_087,470,7.861151531532394,81.07961547594924,3.8675598667088753,1
AGENT_088,655,14.64986881003508,88.24264125968864,4.046471309248931,0
AGENT_089,661,10.043493415327525,76.01495494967607,3.7312514016037444,0
AGENT_090,926,13.615876967588648,85.79672408092183,5.0,1
AGENT_091,451,11.13703443473934,80.38197872257223,3.510465727137812,0
AGENT_092,901,11.54827136713209,84.02727372029058,4.822137723598013,1
AGENT_093,495,10.404919869208259,79.022338326947,3.068889802216784,0
AGENT_094,924,16.854285508564857,90.0519553799135,5.0,1
AGENT_095,919,10.975033530877544,82.47252485427724,5.0,1
AGENT_096,948,14.84926771706461,89.00541196393715,5.0,1
AGENT_097,537,10.889765588496847,78.93405556863372,3.4124808471908388,0
AGENT_098,252,9.083645743554621,77.95646614365003,2.6240249686788184,0
AGENT_099,991,12.436098578243836,82.70425724504383,4.739957829251338,1
AGENT_100,416,6.5190867738314475,73.47197169559975,2.4602681128117223,0
